time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/12/25/17:16:27.947169,172772,1703495787,945191248,/gps,0,0,24.8828312667,121.156074413,352.200012207,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.009540,172773,1703495787,998406680,/gps,0,0,24.8828307267,121.156074655,352.200012207,"(0.0002044899977838993, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.046895,172774,1703495788,45655986,/gps,0,0,24.88283019,121.156074893,352.190002441,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.097054,172775,1703495788,95185804,/gps,0,0,24.8828296433,121.156075122,352.190002441,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.147375,172776,1703495788,145148944,/gps,0,0,24.8828291017,121.156075348,352.179992676,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.197155,172777,1703495788,195366796,/gps,0,0,24.8828285667,121.156075577,352.179992676,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.246959,172778,1703495788,244987890,/gps,0,0,24.8828280333,121.156075802,352.179992676,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.297479,172779,1703495788,295534858,/gps,0,0,24.8828274983,121.156076025,352.170013428,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.347488,172780,1703495788,345058004,/gps,0,0,24.8828269683,121.156076247,352.170013428,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.397149,172781,1703495788,395241031,/gps,0,0,24.8828264417,121.156076467,352.160003662,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.446988,172782,1703495788,445207652,/gps,0,0,24.8828259167,121.156076687,352.160003662,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.497201,172783,1703495788,495472763,/gps,0,0,24.88282539,121.156076908,352.149993896,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.546691,172784,1703495788,545452296,/gps,0,0,24.8828248683,121.156077138,352.149993896,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.597503,172785,1703495788,595570945,/gps,0,0,24.8828243567,121.156077368,352.149993896,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.647219,172786,1703495788,645035252,/gps,0,0,24.8828238517,121.156077592,352.140014648,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.697176,172787,1703495788,695340951,/gps,0,0,24.882823345,121.156077813,352.140014648,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.747022,172788,1703495788,745061693,/gps,0,0,24.882822845,121.156078033,352.130004883,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.797901,172789,1703495788,796161949,/gps,0,0,24.882822345,121.156078248,352.130004883,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.847739,172790,1703495788,845095925,/gps,0,0,24.8828218517,121.156078458,352.130004883,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.897009,172791,1703495788,895631361,/gps,0,0,24.8828213617,121.15607867,352.119995117,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:28.947937,172792,1703495788,945080100,/gps,0,0,24.8828208817,121.156078883,352.119995117,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:29.009500,172793,1703495788,998316170,/gps,0,0,24.882820405,121.156079095,352.119995117,"(0.00020735999287605292, 0.0, 0.0, 0.0, 0.00017423999811172486, 0.0, 0.0, 0.0, 0.00024024999214708812)",2
2023/12/25/17:16:29.046935,172794,1703495789,45107456,/gps,0,0,24.8828199283,121.156079305,352.109985352,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.097789,172795,1703495789,95083415,/gps,0,0,24.8828194533,121.156079513,352.109985352,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.146764,172796,1703495789,145314869,/gps,0,0,24.8828189767,121.156079718,352.109985352,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.197529,172797,1703495789,195394707,/gps,0,0,24.8828185117,121.156079923,352.109985352,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.246799,172798,1703495789,245149364,/gps,0,0,24.88281805,121.156080125,352.100006104,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.297445,172799,1703495789,295219921,/gps,0,0,24.8828175883,121.156080325,352.100006104,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.346700,172800,1703495789,345130703,/gps,0,0,24.88281713,121.15608053,352.100006104,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.397281,172801,1703495789,395367657,/gps,0,0,24.882816665,121.156080735,352.100006104,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.446787,172802,1703495789,445123008,/gps,0,0,24.8828161983,121.156080947,352.100006104,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.497700,172803,1703495789,495491649,/gps,0,0,24.88281573,121.156081155,352.089996338,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.547052,172804,1703495789,545027103,/gps,0,0,24.8828152633,121.156081358,352.089996338,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
2023/12/25/17:16:29.597570,172805,1703495789,595245255,/gps,0,0,24.8828147933,121.156081558,352.089996338,"(0.00021024998790025728, 0.0, 0.0, 0.0, 0.00017955998897790926, 0.0, 0.0, 0.0, 0.0002464899813777212)",2
